Id,Nombre,Equipo,Puntaje,Competencias
11,FYOIJZAOX,Red Bull,7919.67,126
18,GJFRSOBWF,Subaru,9677.02,116
15,NXQERCGQL,BMW,3205.77,18
9,DXIXSEFFU,Pagani,5905.36,16
19,PZJFXUSFU,Honda,4309.49,24
12,PUWJYCYOP,Lotus,567.08,166
2,CRNXYDDCT,Haas,4237.85,85
14,XOUWYHNNC,Ferrari,8609.02,193
1,WGSMXURBF,BMW,2309.22,157
3,WTAGAXLWF,Porsche,5273.45,170
6,ELFJQQMQU,Chevrolet,1998.20,118
16,DQMWOACMO,Audi,8542.22,79
0,CQWYFUSXI,Alfa Romeo,6535.09,50
13,XHBSWUHDT,Bosch,5322.51,169
8,LPRUVQFZB,Alfa Romeo,801.43,35
7,NNWXTKJEE,Maserati,3307.08,108
5,JRMETNERJ,Audi,4875.43,132
10,QNUWKCVXT,Nissan,8592.07,166
17,GYAKJYMZV,Audi,9961.33,192
4,ZCGELSRPK,Lamborghini,9044.46,135
